id,company,country,industry,year,ai_adoption_percentage,primary_ai_application,disruption_level,revenue_growth,cost_reduction,esg_score,primary_esg_impact,sustainable_growth_index,innovation_index,employee_satisfaction,market_share_change
100,AIFirst,France,Real Estate,2020,50.13,Customer Service,Medium,16.78,19.39,58.55,Biodiversity Protection,0.53,100,86.35,5.57
101,HealthInnovate,Spain,Information Technology,2021,74.1,Drug Discovery,High,0.37,20.62,111.09,Ethical Supply Chain,0.89,100,88.9,0.13
102,FintechFront,South Korea,Agriculture,2020,54.25,Customer Service,High,5.85,34.62,52.54,Transparency,0.54,83.76,92.27,1.87
103,DataDynamics,Russia,Aerospace,2022,119.46,Fraud Detection,Revolutionary,41.02,35.18,102.24,Community Development,1.13,100,100,10.44
104,CleanEnergy,Germany,Finance,2024,116.77,Supply Chain Optimization,High,4.66,10.95,114.88,Employee Well-being,1.16,100,84.7,1.45
105,EduTech,Russia,Healthcare,2020,71.27,Supply Chain Optimization,Revolutionary,55.21,22.7,56.3,Ethical Supply Chain,0.65,100,93.77,14.77
106,HealthInnovate,Netherlands,Real Estate,2020,46.49,Customer Service,Low,19.04,19.26,96.98,Community Development,0.67,100,96.83,4.71
107,BioGen,Indonesia,Real Estate,2022,58.47,Drug Discovery,Medium,34.32,30.54,88.02,Waste Management,0.7,100,79.48,8.8
108,AIFirst,Switzerland,Finance,2020,68.55,Process Optimization,High,8.47,29.05,63.4,Energy Efficiency,0.66,100,81.57,2.34
109,SmartRetail,South Korea,Aerospace,2020,75.61,Drug Discovery,Low,29.8,12.7,101.07,Employee Well-being,0.86,100,86.71,8.76
110,RoboWorks,Japan,Biotechnology,2023,90.01,Autonomous Systems,Low,27.91,20.97,98.26,Biodiversity Protection,0.93,100,100,9.89
111,CyberSecure,Netherlands,Information Technology,2021,100.3,Predictive Maintenance,Low,43.83,17.05,114.27,Water Conservation,1.06,100,100,11.13
112,RoboWorks,United States,Manufacturing,2024,61.63,Drug Discovery,Low,32.73,12.59,88.66,Water Conservation,0.72,100,96.98,8.3
113,BioGen,Germany,Finance,2021,93.26,Fraud Detection,High,56.59,32.92,64.79,Biodiversity Protection,0.82,92.24,93.35,18.1
114,QuantumLeap,Italy,Transportation,2022,98.04,Content Creation,Low,20.01,25.51,80.43,Water Conservation,0.91,92.68,83.6,5.17
115,CleanEnergy,Switzerland,Biotechnology,2024,92.78,Fraud Detection,Low,10.87,21.45,67.82,Community Development,0.83,100,100,3.22
116,EnergyFuture,Canada,Aerospace,2024,112.83,Drug Discovery,Medium,14.7,11.88,97.15,Social Inclusion,1.07,100,81.3,3.6
117,QuantumLeap,United Kingdom,Finance,2024,93.45,Personalization,Low,18.07,42.72,96.23,Transparency,0.95,100,99.02,6.33
118,GreenMobility,United States,Manufacturing,2024,82.05,Fraud Detection,Medium,40.21,26.91,74.21,Ethical Supply Chain,0.79,100,100,13.87
119,GreenMobility,Germany,Education,2022,66.15,Autonomous Systems,High,37.82,7.12,86.61,Energy Efficiency,0.74,100,98.3,13.51
120,HealthInnovate,Switzerland,Telecommunications,2021,96.52,Fraud Detection,Revolutionary,46.57,28.28,97.96,Employee Well-being,0.97,95.8,92.96,11.76
121,HealthInnovate,Switzerland,Energy,2023,85.78,Predictive Maintenance,Medium,2.21,9.59,109.92,Community Development,0.95,100,100,0.7
122,TechCorp,Indonesia,Entertainment,2020,72.04,Content Creation,High,47.1,18.91,105.18,Social Inclusion,0.85,100,96.39,15.77
123,EcoSolutions,India,Energy,2024,92.16,Content Creation,Medium,14.73,35.15,96.36,Social Inclusion,0.94,100,87.8,4.96
124,AgroTech,Singapore,Retail,2020,65.37,Personalization,Low,23.75,22.79,60.34,Water Conservation,0.63,86.78,86.32,7.02
125,SmartRetail,Mexico,Information Technology,2020,95.02,Product Design,Low,0.05,34.26,68.97,Energy Efficiency,0.85,100,77.25,0.01
126,AIFirst,France,Real Estate,2024,91.42,Predictive Maintenance,Low,35.1,25.33,55.66,Transparency,0.77,96.0,98.71,9.35
127,CyberSecure,Switzerland,Automotive,2020,87.44,Product Design,High,19.98,9.28,54.91,Community Development,0.74,100,96.59,7.11
128,SmartRetail,Canada,Aerospace,2021,79.38,Predictive Maintenance,Medium,36.0,36.68,99.74,Carbon Footprint Reduction,0.88,98.7,97.1,10.31
129,FintechFront,Brazil,Transportation,2021,68.6,Process Optimization,Low,20.72,18.69,105.48,Waste Management,0.83,90.9,100,7.45
130,CloudPioneer,United States,Entertainment,2021,68.89,Customer Service,Medium,23.59,24.03,106.69,Water Conservation,0.84,91.92,100,8.01
131,TechCorp,India,Biotechnology,2023,97.43,Supply Chain Optimization,Medium,4.05,25.56,68.12,Biodiversity Protection,0.86,99.82,89.89,1.45
132,CyberSecure,Mexico,Agriculture,2024,81.62,Supply Chain Optimization,Low,17.68,33.53,55.48,Carbon Footprint Reduction,0.71,100,71.79,4.85
133,CloudPioneer,France,Retail,2021,77.18,Content Creation,Medium,25.62,29.6,75.05,Waste Management,0.76,100,83.01,9.08
134,CleanEnergy,France,Automotive,2023,95.0,Fraud Detection,Low,13.26,15.82,86.72,Ethical Supply Chain,0.92,100,85.62,4.02
135,EnergyFuture,Indonesia,Manufacturing,2020,71.97,Content Creation,Low,35.55,27.62,80.53,Ethical Supply Chain,0.75,85.11,100,9.41
136,SmartRetail,United States,Entertainment,2024,89.44,Fraud Detection,Low,8.93,25.05,70.04,Carbon Footprint Reduction,0.82,98.26,83.36,2.98
137,GlobalFinance,Germany,Finance,2021,79.65,Process Optimization,Low,31.22,33.14,78.55,Ethical Supply Chain,0.79,97.01,98.19,9.33
138,SpaceVentures,Singapore,Manufacturing,2020,62.0,Fraud Detection,High,20.91,31.77,100.15,Ethical Supply Chain,0.77,97.99,87.68,5.27
139,EcoSolutions,South Korea,Retail,2021,67.09,Personalization,Revolutionary,46.43,8.2,82.01,Social Inclusion,0.73,98.64,100,14.22
140,CyberSecure,Mexico,Telecommunications,2020,76.83,Supply Chain Optimization,Medium,40.72,21.77,77.02,Social Inclusion,0.77,85.28,98.97,9.89
141,EnergyFuture,Singapore,Real Estate,2023,76.04,Drug Discovery,Medium,17.42,11.65,107.79,Water Conservation,0.89,100,100,5.85
142,SpaceVentures,Germany,Telecommunications,2024,114.31,Drug Discovery,Medium,19.16,32.1,68.51,Social Inclusion,0.96,97.73,83.61,5.19
143,GreenMobility,Switzerland,Finance,2023,94.49,Fraud Detection,Medium,18.53,12.68,102.67,Transparency,0.98,88.47,100,6.12
144,CleanEnergy,Indonesia,Biotechnology,2024,98.41,Drug Discovery,High,58.93,29.33,78.98,Ethical Supply Chain,0.91,100,91.39,19.54
145,CleanEnergy,South Korea,Retail,2024,91.0,Drug Discovery,Medium,43.6,20.68,82.18,Social Inclusion,0.87,100,97.06,11.48
146,NanoTech,Canada,Biotechnology,2020,70.53,Autonomous Systems,High,25.75,24.84,82.32,Ethical Supply Chain,0.75,86.57,96.88,7.55
147,FintechFront,Singapore,Entertainment,2023,85.23,Predictive Maintenance,Medium,45.15,16.2,65.59,Social Inclusion,0.77,95.02,88.5,11.93
148,HealthInnovate,Spain,Education,2020,81.19,Process Optimization,Medium,9.23,25.13,60.1,Community Development,0.73,94.58,93.12,2.8
149,NanoTech,China,Education,2020,74.24,Drug Discovery,Revolutionary,57.85,41.17,93.11,Employee Well-being,0.82,100,90.36,17.89
150,HealthInnovate,Sweden,Telecommunications,2021,81.87,Fraud Detection,Medium,6.67,19.61,62.74,Water Conservation,0.74,100,87.22,1.93
151,EnergyFuture,Brazil,Entertainment,2024,80.78,Customer Service,Low,24.77,12.29,92.72,Waste Management,0.86,92.89,100,6.04
152,GlobalFinance,Mexico,Real Estate,2022,76.06,Predictive Maintenance,Medium,12.78,14.03,67.66,Carbon Footprint Reduction,0.73,86.87,75.19,3.21
153,EcoSolutions,Singapore,Education,2020,56.91,Personalization,High,39.67,12.91,57.3,Waste Management,0.57,100,90.45,12.66
154,SpaceVentures,Canada,Telecommunications,2024,100.33,Personalization,Medium,25.53,41.36,65.45,Water Conservation,0.86,96.27,91.01,8.6
155,SpaceVentures,Italy,Entertainment,2024,101.88,Supply Chain Optimization,High,45.83,36.74,70.49,Employee Well-being,0.89,100,100,13.87
156,BioGen,Germany,Biotechnology,2024,81.15,Customer Service,High,57.45,22.07,110.8,Ethical Supply Chain,0.93,89.57,100,16.39
157,DataDynamics,Sweden,Energy,2024,73.52,Customer Service,High,51.93,18.43,56.64,Carbon Footprint Reduction,0.67,100,96.32,16.29
158,QuantumLeap,Australia,Telecommunications,2022,111.29,Drug Discovery,High,60.11,14.8,75.28,Biodiversity Protection,0.97,100,83.08,19.08
159,RoboWorks,Indonesia,Biotechnology,2024,90.67,Autonomous Systems,Medium,35.0,28.54,67.78,Biodiversity Protection,0.82,96.28,85.83,10.63
160,RoboWorks,United States,Telecommunications,2021,82.77,Predictive Maintenance,Medium,36.63,10.92,117.72,Ethical Supply Chain,0.97,98.89,84.67,10.17
161,HealthInnovate,France,Retail,2020,64.7,Drug Discovery,Low,26.85,23.07,63.64,Carbon Footprint Reduction,0.64,83.67,86.95,7.06
162,CyberSecure,Russia,Energy,2022,65.51,Fraud Detection,Low,1.08,12.52,91.64,Biodiversity Protection,0.76,95.74,100,0.36
163,DataDynamics,China,Real Estate,2020,48.01,Supply Chain Optimization,Medium,5.58,22.31,81.74,Carbon Footprint Reduction,0.62,75.77,100,1.61
164,HealthInnovate,France,Healthcare,2024,83.11,Personalization,Revolutionary,73.46,14.76,113.01,Waste Management,0.95,100,82.88,19.33
165,CloudPioneer,Mexico,Finance,2024,118.06,Customer Service,High,36.1,47.83,105.89,Transparency,1.13,100,98.25,9.38
166,GreenMobility,Singapore,Manufacturing,2023,67.47,Predictive Maintenance,Low,22.99,10.14,82.41,Carbon Footprint Reduction,0.73,83.39,83.47,5.56
167,EduTech,Germany,Finance,2024,88.18,Personalization,Revolutionary,51.87,38.55,108.68,Energy Efficiency,0.96,100,86.63,12.74
168,SpaceVentures,Mexico,Manufacturing,2024,85.52,Content Creation,Medium,3.78,25.11,75.51,Carbon Footprint Reduction,0.82,100,94.19,1.18
169,SpaceVentures,Mexico,Education,2020,78.21,Drug Discovery,High,55.99,22.1,75.86,Ethical Supply Chain,0.77,100,91.24,13.63
170,FintechFront,France,Aerospace,2023,109.41,Autonomous Systems,Medium,0.66,11.23,109.76,Waste Management,1.1,100,96.42,0.2
171,BioGen,Australia,Agriculture,2024,68.88,Fraud Detection,Revolutionary,8.14,14.74,54.76,Waste Management,0.63,100,89.74,2.91
172,EnergyFuture,Mexico,Telecommunications,2023,90.98,Customer Service,High,20.29,33.46,68.85,Employee Well-being,0.82,100,100,5.14
173,BioGen,Japan,Manufacturing,2023,94.89,Personalization,Medium,36.11,23.02,70.48,Waste Management,0.85,100,89.95,12.14
174,HealthInnovate,Indonesia,Biotechnology,2024,80.05,Process Optimization,Low,11.04,24.7,75.11,Waste Management,0.78,100,93.84,2.98
175,DataDynamics,Spain,Aerospace,2022,109.8,Supply Chain Optimization,Low,27.74,19.1,119.85,Social Inclusion,1.14,100,90.35,7.57
176,SmartRetail,South Korea,Energy,2021,52.73,Fraud Detection,Low,10.63,16.01,62.41,Social Inclusion,0.57,83.59,93.56,3.68
177,BioGen,Switzerland,Manufacturing,2024,69.7,Drug Discovery,Medium,27.67,26.83,70.96,Water Conservation,0.7,92.56,75.04,7.28
178,BioGen,Russia,Transportation,2021,84.05,Fraud Detection,High,35.31,21.77,83.64,Water Conservation,0.84,100,85.8,9.74
179,GreenMobility,United States,Telecommunications,2020,107.08,Predictive Maintenance,Medium,3.45,46.2,88.97,Carbon Footprint Reduction,1.0,100,100,1.17
180,FintechFront,Spain,Real Estate,2023,67.91,Personalization,High,34.11,25.06,94.56,Ethical Supply Chain,0.79,100,100,8.53
181,NanoTech,Russia,Manufacturing,2024,103.2,Drug Discovery,Medium,6.01,23.56,113.59,Water Conservation,1.07,100,96.83,1.79
182,SmartRetail,Switzerland,Agriculture,2022,66.88,Supply Chain Optimization,Medium,25.14,30.7,79.6,Biodiversity Protection,0.72,97.27,88.97,6.42
183,QuantumLeap,Mexico,Finance,2023,90.18,Drug Discovery,Medium,37.41,25.25,85.76,Ethical Supply Chain,0.88,95.56,91.88,10.9
184,FintechFront,Sweden,Manufacturing,2023,63.7,Personalization,Low,37.24,21.63,68.66,Employee Well-being,0.66,100,100,11.27
185,TechCorp,Mexico,Biotechnology,2020,87.63,Customer Service,Low,0.72,21.73,71.92,Energy Efficiency,0.81,100,80.88,0.23
186,AgroTech,Indonesia,Entertainment,2020,69.46,Content Creation,High,16.95,26.54,103.24,Ethical Supply Chain,0.83,100,100,5.53
187,BioGen,China,Aerospace,2022,77.3,Customer Service,High,31.4,12.2,111.9,Energy Efficiency,0.91,100,100,11.19
188,AIFirst,Japan,Finance,2024,100.32,Product Design,Low,15.42,31.3,84.39,Water Conservation,0.94,92.58,89.54,4.31
189,CloudPioneer,Singapore,Manufacturing,2020,64.33,Personalization,High,3.55,15.8,74.59,Water Conservation,0.68,83.73,96.03,1.27
190,GlobalFinance,Germany,Telecommunications,2020,104.2,Process Optimization,Low,3.69,14.83,85.22,Water Conservation,0.97,100,97.56,1.08
191,TechCorp,France,Biotechnology,2021,77.86,Customer Service,Low,1.25,17.22,83.06,Transparency,0.8,100,80.37,0.44
192,QuantumLeap,Switzerland,Healthcare,2021,73.79,Supply Chain Optimization,Medium,26.68,23.24,85.39,Ethical Supply Chain,0.78,100,100,9.38
193,GreenMobility,Switzerland,Healthcare,2020,81.63,Personalization,Low,26.47,25.62,81.95,Carbon Footprint Reduction,0.82,100,100,6.46
194,SmartRetail,Australia,Telecommunications,2022,112.36,Predictive Maintenance,Low,5.11,32.9,60.26,Energy Efficiency,0.92,100,80.2,1.54
195,HealthInnovate,Germany,Education,2022,70.63,Personalization,Low,14.32,15.75,87.36,Transparency,0.77,100,100,4.06
196,TechCorp,Netherlands,Retail,2021,70.69,Predictive Maintenance,High,37.97,19.9,83.26,Community Development,0.76,100,78.49,9.8
197,QuantumLeap,India,Energy,2024,74.85,Fraud Detection,Medium,31.71,23.3,87.73,Employee Well-being,0.8,100,88.3,11.11
198,RoboWorks,Russia,Agriculture,2024,59.64,Personalization,Medium,18.47,11.13,99.31,Employee Well-being,0.76,100,83.25,6.01
199,QuantumLeap,Australia,Biotechnology,2022,81.31,Drug Discovery,Low,3.4,25.88,88.48,Ethical Supply Chain,0.84,100,93.43,0.96
200,GreenMobility,Switzerland,Telecommunications,2020,92.33,Process Optimization,Medium,42.96,25.23,59.06,Waste Management,0.79,100,76.09,11.62
